关键词,博文
防疫,"
                    【“宝贝，等爸爸打败怪兽就回来陪你！”】#疫情当前警察不退# 自海盐周边地区发生疫情以来，海盐县公安局西塘派出所教导员陈鹏坚守防疫一线，已经很久没有回家了。3月28日，忙碌了一天的陈鹏回到办公室准备稍作休息，看到了手机里妻子发来的视频，4岁的女儿拿着自己画的生日蛋糕，奶声奶气地为他唱着 ​  展开c"
防疫,长沙#长沙抗疫日记# 【隔离酒店的“大白”收到来自雅礼学子的花式表白】#三湘防疫进行时#  “大白，感谢你们每天陪着我们隔离，帮我们做核酸，给我们送餐，你们辛苦了！”“感谢医护人员和工作人员！”3月29日，在长沙市雨花区西雅酒店集中隔离点内的医务人员和工作人员，收到正在隔离的雅礼学 ​  展开c
防疫,#口罩打湿后仍有一定防护效果#【戴口罩指南】近日，部分地区出现疫情反复现象，防疫“三件套”“五还要”很重要，在以下场所时，提醒大家一定要注意正确佩戴口罩。  #上海第二批封控区域内交通安排# ​​​ 2通化 ​                
防疫,#汕头大学防疫##汕头# 座谈会，大概意思就是害怕学生出校被感染所以要封校，因噎废食？！即使汕头0例，也非常的有这个可能，如果出事怎么办？！照这么说，整个汕头的人都关在自己家好了！谁知道什么时候就会有一例出现？！ ​                
防疫,"
                    【隔离不隔爱 温暖一直在 民警走进云课堂给辖区学生上法制网课】受新冠疫情影响，秦皇岛市部分中小学已采取网上教学方式上课。隔离不隔爱，温暖一直在！为了让师生、家长掌握更多的预防毒品知识、网络安全知识、卫生防疫知识，秦皇岛市公安局北戴河新区分局赤洋口海防派出所多方沟通联系，于 3月31日上 ​  展开c"
防疫,#全民防疫# 上海，你说你是国际大都市，你不能封控和停摆！但是，你们这样发放物资，也太不小心！太不专业！太没水平了！好好反省自查，上海放出去多少阳性和密接！我只能说仅仅是发放物资这一块，你们上海发放物资的方式真的很无知！我没感觉到上海的先进体现在哪里！ L怀府刀客的微博视频 ​                
防疫,"
                    【要求货车司机48小时核酸 上海公路货运下滑明显】货运司机需48小时核酸检测等防疫措施正在拖慢甚至阻碍货物进入上海。3月31日，一家公路货运公司工作人员向财新提供的数据显示，3月26日上海市公路货运整车流量指数还维持在正常水平，27日至29日连续三天下降，29日流量指数水平较26日下跌近40%。  ​  展开c"
防疫,"
                    🌸三月の大学生活封校封得行程码也带*⃣️，最近都在上网课啦愿逆风如解意，不用再防疫！ ​                "
防疫,"
                    这周是防疫双人组，有碰我说“他们是志愿者，赚很多钱”的不理解群众，也有劝妈妈积极配合查码的懂事儿小姑娘~日夜转也得熬呀，好多人比自己辛苦多了！加油吧，终会胜利的(：但因为穿隔离服，没接到书记好几个电话，我可能在办公室呆不长了 ​                "
防疫,"
                    今晚如果不是发了关于人性和生命的讨论视频，我还不知道原来社会上的败类这么多。1、我为什么对卫生院的护士非常愤怒，甚至想剁人。卫生院里面的医生全部正常在值班，但是因为防疫问题，他们就是在办公室坐着，啥事情都不用做，而护士就在外面做人肉护栏。我之所以讲我自己的故事，是为了告诉大家， ​  展开c"
防疫,"
                    还是想说一些，大家不想听，我自己不想说的话。邳州是县级市，徐州是地级市，地级市包含着管理着县级市。有很多的人工作在邳州，家在徐州，同样也很多的人工作在徐州家在邳州。60KM的距离，是家和工作的距离，是爱人和亲人的距离。我们无条件支持防疫策略，突然一刀切的3月24-3月27日以及之后徐州 ​  展开c"
防疫,#宁夏防疫面子工程#无语了，不知道什么时候解封，没有疫情，不解封，教职工可以回家，学生请假都不让走，除非家里死人了，被120拉走就让回家，系主任不给过假条，除非家里死人，他说的原话，并且，系主任不让任何人请假了，说不让回去，我们返校带核酸，证明我们是健康的，在这个垃圾学校，放假一天集 ​  展开c
防疫,#狗子随主人被困高速泡面吃到怀疑狗生#有病吧这防疫防的跟神经病似的，为什么堵在高速七天不让下高速，要是没有泡面是饿死在高速上？？？ ​                
防疫,#狗子随主人被困高速泡面吃到怀疑狗生#好笑吗，nm看够了一些过度防疫，即使是路过没下车也会带⭐不让走，这么久了还研究不出来更好的程序吗 都别活了得了 ​                
防疫,#宁波发布疫情防控最新通知##浙江万里学院##学校因疫情防控加装铁皮围墙##浙江万里学院封校##宁波高校防疫在行动# 凭什么封大学生凭什么封大学生凭什么封大学生哪都不封凭什么封大学生有人知道浙江万里还没解封过吗 ​                
防疫,#上海疫情# 小区5人混检，半夜接到宝山防疫办电话，说核酸异常，吓得我一晚上没睡着，大白上门后做了核酸，第二天又是焦急的等待，这个阴性来之不及#20220331# 2上海 ​                
防疫,"
                    居民：这么晚打来你真是不礼貌。我（微笑）：不好意思，实在是这个防疫核查比较急，需要马上反馈，打扰你了抱歉。放下电话后。我（暴躁）：这个时间加班对我也不礼貌！ ​                "
防疫,#抗疫行动# 3月28日，我校冬奥志愿者自发举行爱心抗疫物资捐赠活动，号召志愿者捐赠爱心物资驰援@吉林大学 。活动共筹集防疫物资、食品及生活物资共420箱，已于昨日抵达吉林大学。疫情无情，人有情，让我们共抗疫情，守平安 ​                
防疫,"#同心战疫共待花期##南京新闻#【南京市公安局关于依法维护全市疫情防控秩序的通告】为全力做好南京市新冠肺炎疫情防控工作，切实保障人民群众生命安全和身体健康，保障正常的生产、生活秩序，根据法律规定和省市有关防疫要求，现就当前依法维护疫情防控秩序相关事项通告如下：

一、来宁返宁人员应当严 ​ 展开c"
防疫,#健康人生 绿色无毒#【防疫现场的禁毒人】为加强疫情防控和禁毒宣传工作，近日，广东省深圳市南山区沙河街道综治办禁毒工作人员前往辖区核酸检测点协助防疫工作的同时，不忘传播禁毒知识。 L中国禁毒在线的微博视频 ​                
防疫,江南大学在封校的一个月里面，我有时也会吐槽学校有些做法不太恰当。也觉得一些行为没必要，形式主义。但是在看到这些后勤人员还有今天下午校医院的检测人员，眼泪真的会绷不住。我们能做的有限，目前最应该做的就是调整了心态，配合学校防疫要求。大家一起努力，共同抗疫！     前段时间看到 ​  展开c
防疫,"
                    防疫居家中，不如来聊聊，快乐的或不快乐的，都行。 一只蹦蹦跳跳的尤物的微博直播 ​                "
防疫,"
                    以为今天不用去防疫，直到中午突然收到通知，让工作人员下午一点半到点位，好的吧，继续为人民服务我以为这次的生日吃不到蛋糕了，因为小区封闭管理了，我哥从昨天就偷偷的联系订蛋糕，今天如愿吃到了蛋糕，我哥真的是太厉害了晚上防疫回来，吃到我哥用心准备的饭菜，感动谢谢老公 ​  展开c"
防疫,#胡新玮李甜甜#真谢谢你们不远万里跨过围墙传染小病毒！！！他们是偷偷翻进来的！我们学校防疫明明很到位，封校很严格的！#山东财经大学# 但是山财行动真的很快呀，满满感动的一天，大家都很辛苦❤️加油！ 2济南 ​                
防疫,"
                    【创意动画】疫情防控不松懈！1分钟视频，get防疫小常识！#郑州新增1例确诊1例无症状#L林芝森林消防的微博视频 ​​​                "
防疫,#吉林一车主未锁车请大白上车休息#3月29日，两辆货车满载着医用防护服、药品、速食产品等防疫物资和生活物资，从西安高新区驶出向吉林省进发。  #陕西支援吉林# 吉林省疫情牵动全国人民的心，为支援吉林省打赢疫情防控阻击战，西安高新技术企业协会联合西安市上市企业协会、高新区总工会、创业园工会 ​  展开c
防疫,"
                    顾魏，上海第一轮封控的时候，你走进了大众的视野，第二轮封控的时候，你却要回到你的空间，2019年的秋天开始就在等待你的到来，实在没想过竟然是在半个月的防疫工作中迎接你的出现，今晚你要回到你的平行空间回到你的手术台，用你的爱治愈每一个患者；明天我将穿上大蓝遵从本心燃烧自己的能量，祝你幸 ​  展开c"
防疫,"
                    月球防疫 L细思极恐的奇闻_的微博视频 ​                "
防疫,"
                    差点忘了，大美女喊我去城墙数砖头，但为了配合防疫工作咱少出门，只能让大美女失望，可惜了。 ​​​                "
防疫,#宁夏防疫面子工程# 艹，宁夏没有一个疫情，还tmd要封校呢。就算封你也要封个彻底的嘛，干嘛只封大中专，是看不起我们大中专的学生嘛！清明，法定节假日你不放！我虽然生气但是还有点理智，可是现在也到了我们“封斋”的月份了，没有疫情，就快点解封撒，我们要封斋，封斋前期要准备的，我们要收拾自己 ​  展开c
防疫,#汕头大学防疫# 整笑了 真的第一次這麼光明正大承認的 ​                
防疫,#宁夏防疫面子工程#@问政银川 @银川发布 问你话呢能不能别装死，学生情绪暴涨真的要发生流血事件你们才会出来回复？ ​                
防疫,#汕头大学防疫# 真的很希望汕头大学能有一位位高权重的领导像深圳的那位政府官员一样将学校的防疫措施一五一十的告知同学们，比起oa上的白纸黑字，可能我们会更想看到有领导站出来发声。没有人愿意看到自己的学校变成现在这样吧🙃 ​                
防疫,"
                    新冠魔幻之处在于惯于乘虚而入。不是不能提意见，不是不能讨论批评，有事说事。对以各种软文有意放大个案，恶意造谣，制造对立，意在以撕裂为目的言论，都应保持警觉，最终不是有利于防疫，而是相反。其危害甚至远远超出对防疫的影响。 ​                "
防疫,"
                    【援鄂护士再出征，家庭医生线上问诊——他们坚守一线解决封控小区就医“难”】当前，上海的疫情防控正面临着最为严峻的考验，封控小区居民的各类就医问题也成了摆在大家面前的一道难题。静安区彭浦新村街道社区卫生服务中心医护人员在一手抓防疫工作的同时也时刻关注着封控区内的各类就医需求，通过多 ​  展开c"
防疫,"
                    【#因为自己淋过雨所以想为别人撑伞#】这是一条令人破防的视频，在金华兰溪，一名志愿者穿着隔离服，将一箱箱沉重的防疫物资扛在肩上，一趟又一趟地来回搬运。与常人不同的是，他只有一只手。这位独臂志愿者名叫施小龙，47岁的他坚持做志愿者已经10年了。“正是因为自己曾经淋过雨，所以更想尽己所能 ​  展开c"
防疫,"
                    【西方媒体等着看上海笑话！上海加油】具有“中国特色”的防疫模式与西方当前“躺平”主义，是完全不同的途径，上海这一波疫情来势汹汹，西方媒体都在等着看笑话，看上海如何搓破自己的防疫模式，越是如此，上海的压力也就越大，责任也就更重。明天换浦西全面封闭，上海加油，盼望这波疫情早日清零 ​  展开c"
防疫,"
                    【浑水摸鱼】偌大一个国际化都市陷入组织混乱后，肯定会有人乘乱浑水摸鱼的。开始大家的眼睛都盯着那些想摸大鱼的，盯得死死的紧紧的。结果冒出来那几个摸小鱼的，让人气得好笑。随便自封一个“防疫总指挥”，就直接垄断了小区几十户业主的高价蔬菜买卖。混乱中，物业和社区都以为他是对方的老大。基层 ​  展开c"
防疫,#狗子随主人被困高速泡面吃到怀疑狗生#防疫防的魔怔了。和回到大跃进大家一起炼钢有啥差别？ ​                
防疫,"#小孟今天变轻了没#
这两张图我觉得大概就是这次产生比较大矛盾的原因。我想说的是第一张图里师大的同学误会说水都送给湖大的学生了，但是实际上湖大的同学也有很多都没有水喝；第二张图里湖大的同学误会说老师故意摆拍不工作，但实际上老师是在做防疫直播。这都是在不同处境下的信息差引起的误解，只 ​ 展开c"
防疫,#河北疫情管理一刀切# 不在沉默中爆发，就在沉默中灭亡。为什么别的省市的大学生学校都当宝贝 而我们在河北上学的大学生 要不断剥夺我们的权益和青春年华呢。如果有疫情封校所有学生都一定服从政府和学校安排积极配合防疫措施，可是在之前的学期 河北没有疫情，也依然要封校，别的省市大学早已经刷脸进 ​  展开c
防疫,"【#蓝朋友rap说唱消防安全#】“儿童在家要牢记,独自玩耍需留意；防疫物资要备好,消毒酒精少不了……”蓝朋友rap版消防安全来啦！知识点满满哦，你记住了吗？#蓝v视界# L中国消防的微博视频 ​                "
防疫,"
                    【三能榜样•最美浙警丨柯城巡特警防疫突击队：红、蓝、白绘就疫情防控“平安色”】#三能榜样# #最美浙警# #衢州公安学三能见行动# @浙江公安 ​                "
防疫,#汕头大学防疫#不要啊，大伙们快捞一捞，上午好不容易有点热度了 ​                
防疫,"
                    【#猫狗随主人被困高速7天都emo了#：已被安全带回厂里】#蓝V视界## 主人回应猫狗被困高速七天# 近日，江苏泰州。谢女士和同伴带着一猫一狗从广州出发送货，到达靖江高速口时因疫情封路且没有通行证被困高速路上。防疫人员每天都送泡面和面包，因自己没有带够猫狗的粮食，它们也吃和人一样的食物。谢女 ​  展开c"
防疫,#汕头大学防疫#支持封校，前提是大家一起，教职工，附中附小，外来人员和车辆，一律不许出入，附中附小学生测温步行入校，必要时在校内网课。 ​                
防疫,"
                    合理分配医护人员，把有限的资源留给更有需要的患者。图1是我两年前写的一个文章，分析日本的防疫政策。避免医疗挤兑是日本防疫的核心。日本的人均医疗资源是相对比较高的，但是传染病的收治容量相对有限。如果不分轻重将所有新冠感染者都送到医院治疗，日本的医疗系统也会很快被击穿，包括院内感 ​  展开c"
防疫,"
                    上海的这一轮防疫，不尽如人意，可那也是我国城市防疫最好水平的体现了。不知道有没有人不赞同这个说法。不要说深圳，深圳要是一下子出来这么多病例，只怕也照样麻爪。{一个守门员，前面几场都守住了，扑出了好几个险球，有几个不可思议的角度居然也扑出了。然后一群粉丝吹，这是个天才守门员，门 ​  展开c"
防疫,"
                    【#陕西已派上千名医护支援吉林#】#秦团战疫#  3月25日，吉林长春。陕西援吉医疗队抵达长春龙嘉机场，此行医疗队共521名医护，一同到达的还有300箱防疫物资。自吉林本轮疫情发生以来，陕西此前已先后集结了600余名医护驰援吉林。加上25日到达的医护，陕西派出的援吉医护累计上千人。这些力量将补充到当 ​  展开c"
防疫,"
                    防疫下的B人，看完觉得好气又好笑。上海某封控小区出现了“冒充防疫总指挥”，并且“倒腾高价菜”的人#上海疫情# #上海新增确诊355例无症状5298例# 2北京 ​                "
防疫,"#魔都 失望##上海疫情#
看到有人说上海防疫就像球赛守门员，前半场100%完美防守，下半场不小心进了一颗球，就要被骂守门员垃圾，说网暴上海。
我心想：上海疫情日增五六千病例，你莫非认为是一夜就传染的？！不会吧！说白了，上半场所谓完美防守本质就是打假球……
我天真地以为新冠遇到上海会拐弯，上 ​ 展开c"
防疫,"
                    【#网传吉林一核酸点多人共用一棉签采样# 当地卫健委：只是演习 并没真的采样】近日，吉林白城，一段多人共用一根棉签核酸检测视频在网络热传。视频显示一名防疫人员用同一根棉签试纸给两名群众做了咽拭子采样，现场还有群众正有序排队。当地#卫健委回应网传多人共用一根棉签采样#，3月31日，白城市卫 ​  展开c"
防疫,#济南防疫##莱芜疫情##莱芜开学# 真的酸q了，昨天晚上十点下通知返校，12345挂电话不接，不让声张开学，莱芜你要干什么？？？教育局是真的会玩复课当天晚上就又阳性了，明天还要继续上课这真的合适吗？🙏🙏上课就上课吧，阳性病例你还没有控制住，密接还继续在人流量大的地方做买卖，鬼知道会 ​  展开c
防疫,"
                    【暖心！#车主不锁车贴纸条让志愿者休息#】3月29日，吉林梅河口。防疫志愿者在工作中看到一辆面包车后玻璃贴着纸条，上前查看后发现这张纸条是留给他们的：“车未锁，志愿者可进车休息！最起码挡风。”简单的15个字让防疫志愿者心中很温暖，这个小小的举动，让防疫志愿者有了一个庇护所。网友：为 ​  展开c"
防疫,张峻宁Hi 假期又来了吧 大家假期愉快啊 但也尽量少走动 还是要注意防疫卫生 在家里追剧看片聊天 一起聊哈哈✌✌✌开心 开心 ​                
防疫,#上海新增确诊355例无症状5298例#  咱也不知道这个上海到底做了哪些防疫措施，山东有上海的小阳人 完事给上海那边送菜，人家说又不是免费的还不领情最后说，山东菜价都成什么样了 还给你们送菜 真倒了八辈子霉了，上海人真优越 ​                
防疫,"
                    【清明假期不休息！#合肥党政领导包保疫情防控#】刚刚，合肥市疫情防控应急指挥部发布《合肥市党政领导包保疫情防控工作通告》。 为从严从紧、抓实抓细各项防控工作，就合肥市领导包保重点领域、重点环节、重点人群防疫工作通告如下：合肥市委副书记、政法委书记马军，副市长姚凯牵头包保交通站场、 ​  展开c"
防疫,"
                    【足不出户，同心守“沪” ，SMG推出居家视听指南】#便民提示#为配合上海防疫抗疫，丰富广大市民疫情期间的文化生活，上海广播电视台从即日起至4月5日推出一大批好听好看的节目内容，全心全意陪伴市民居家战疫，共同守“沪”。详见↓ O足不出户，同心守“沪” ，SMG推出居家视听指南 ​                "
防疫,"
                    坐标普陀真如这防疫物资真的绝了 ​​​ 2上海·真南路183弄小区 ​                "
防疫,#宁夏防疫面子工程#所以说这是不是搞歧视教职工都可以出入自由，学生就不可以?@银川日报 @微博银川 @银川发布 快上热搜吧热搜吧热搜吧 ​                
防疫,#辛巴公司向泉州捐300万元抗疫物资#泉州抗疫形势严峻，多家企业宣布捐款捐物驰援泉州抗疫。继特步、鸿星尔克等出手援助之后，辛选集团创始人辛有志捐赠300万防疫物资支援泉州抗疫，保障医护人员和市民的抗疫物资需求，目前已经陆续到位。 ​                
防疫,#宁夏防疫面子工程#就为了保自己的官吗？什么傻b政策 ，妈的说是老师两点一线，有些老师甚至还出去喝酒再回来，中途接触的人根本不知道是哪来的，要么就全封，要么就解封，@问政银川 这个时候当死人？不敢和我们学生正面接触吗@宁夏日报 @人民日报 @宁夏新闻网 @四川观察  ​​​ 2银川 ​                
防疫,大家好 蹭了下传单侠热度我灵感枯竭了反正这件事情所有问题真的要好好处理吧不能让雪球越滚越大了没有谁想让自个学校出事祝好汕头大学#汕头大学##刘浩存支持汕大防疫##汕大防疫##汕头大学防疫# ​​​                
防疫,#抗疫行动#🙌保驾护航守土有责，同心抗疫为爱而行。3月30-31日，中顺洁柔分别向广州市白云区鸦岗村及佛山市顺德区容桂街道办事处容桂小学、瑞英小学、容山小学、振华小学、泰安小学、振华幼儿园、蓓蕾幼儿园、蓓荭幼儿园、熙园幼儿园等9所学校捐赠价值16万元爱心防疫保障物资，健康守护，携手战“疫 ​  展开c
防疫,#汕头大学防疫#不得不说已经劝退了三四个22的师妹了… ​                
防疫,#洛阳疫情#洛阳疫情封控，家人急需救命药，问社区如何解决结果社区一问三不知，只开一张证明但依旧不让出门，区防疫办电话几个小时依旧打不通，打市长热线让联系110，打110让联系政府，问如何解决？ ​                
防疫,"
                    自上海扭转防疫措施后，我基本不用孟买来称呼这座伟大的城市了。上海是每个中国人的上海，那里的人都是同胞。之所以以孟买称谓，实为气急之下，郁闷的心情难以散解。走回动态清零的方向，是极重要的举动，再加之以中央的正确指挥，兄弟省市的无私帮助，上海会走出阴霾的，虽然时间可能有点长。我们 ​  展开c"
防疫,"
                    好久不见三月份有在好好防火防疫，每天忙到四点起九点睡，有苦但更多的是明白了自己身上担负的责任，“为人民服务”终不是一句空话。越是接触防疫工作，越是佩服最开始参与新冠疫情的工作人员，无法想象在疫情最手忙脚乱、人心惶惶的时刻他们是怎样坚守的。希望疫情滚出地球  大家都能早日 ​  展开c"
防疫,"
                    近期工作无非是两个，防疫和经济。没公布细节要么是还没形成统一意见，要么在等一个合适时机。 ​                "
防疫,"
                    很开心终于回到中国啦! 马上就要开始隔离生活了。我听说了最近的疫情，希望大家都要遵守防疫规定，期待我们早日可以战胜疫情! 🙌侯永永#加油中国# ​                "
防疫,#汕头大学防疫#我想知道开会的时候校长来了吗？校长这么忙？还是说校长身份高，我们不配见？？？话说我好像从来没在饭堂看见过校长，哈哈哈哈哈哈哈哈哈笑死 ​                
防疫,#健康人生 绿色无毒# “拒毒防毒”“禁种铲毒”……这个春天的禁毒宣传，一个都不能少。苏州市禁毒办在做好防疫措施的基础上，及时调整，化整为零，禁毒社工、禁毒志愿者们用发放禁毒宣传折页、张贴禁毒海报等方式，完成了不聚集、不扎堆又点面结合的棋盘式宣传，让苏城人民防得住病毒感染也防得了毒品 ​  展开c
防疫,#湖南大学最实在的隔离餐# 「275名食堂员工，30000人的一日三餐」#疫情下湖南高校的防疫举措# （@湖南大学 ） ​                
防疫,#刘浩存支持汕大防疫##汕头大学防疫# 汕头大学从来都不缺人才 只是汕头大学更专精于修坟 ​                
防疫,"
                    好烦，朋友圈里的中产小孩，第一次自己去上海租房子工作，刚刚看她朋友圈，因为防疫要封小区兴奋的不行。去周围逛超市也开开心心的，说自己是在观察世界，观察人类，说是好神奇的人生体验啊，好好玩。唉，有时候真想把你们脑子打开来看看到底在高兴些什么，怎么能不食人间烟火到这种程度。 ​                "
防疫,#聊天记录#疫情偶有反复，隔离的状态时有发生。安全防疫是重要的，如何在隔离的日子里守护身心也变得格外重要。面对突然的“与世隔绝”，你是如何调整自己又是怎么使用一个人的时间的呢？应对心理上的孤单有何方法？打发时间还是充分利用它？我和@方龄 本周继续直播，请来正在上海经历隔离生活的@秋微  ​  展开c
防疫,"
                    【落实落细防控措施，全面做好常态化防控！】为巩固南昌市疫情防控社会面清零成果，高新区不折不扣落实相关工作要求，毫不松懈抓好疫情防控社会面管控工作！高新区闻令而动，切实履责，深入全区各防疫点位，实地部署各项疫情防控工作，落实落细基层防疫工作常态化开展，巩固拓展疫情防控成果，有力有 ​  展开c"
防疫,#仓溢东苑#杭州仓溢东苑怎么么了？这么多人？有没有人知道？#仓溢东苑 防疫# L娱综视频的微博视频 ​                
防疫,#仓溢东苑 防疫# 离得有点近，唉，网传是满报，网传…… ​                
防疫,#红帆支援一线防疫##河南抗疫日记# 小善意，大温暖。我在“红帆支援一线防疫”项目捐款成功！愿点滴之举温暖更多心灵。@北京扬帆公益基金会http://t.cn/A6J5h6X8 ​                
防疫,#汕头大学防疫# 发文字被ban掉了，只能转成长图，总的来说就是，座谈会作为学院层面的行动，充当的是收集者和传声筒的角色，具体的改变还需校方的回应 ​​​                
